Agent Id,Device Type,Device Type Certified,Count,Snapshot At
broadlink-smart-home,action.devices.types.TV,No,114196,2020-08-12
wyze-af349,action.devices.types.DOOR,No,76355,2020-08-12
lgsmartthinq-direct,action.devices.types.TV,No,73911,2020-08-12
lgsmartthinq-direct,action.devices.types.AC_UNIT,No,71774,2020-08-12
home-assistant-35180,action.devices.types.SETTOP,No,64349,2020-08-12
lgsmartthinq-direct,action.devices.types.DRYER,No,52401,2020-08-12
tuya-direct-action-kdm,action.devices.types.TV,No,49800,2020-08-12
lgsmartthinq-direct,action.devices.types.REFRIGERATOR,No,47397,2020-08-12
lampux1-656a4,action.devices.types.LIGHT,No,44879,2020-08-12
gridhome-smartcontrol-action,action.devices.types.LIGHT,No,44553,2020-08-12
emerald-pipe-211407,action.devices.types.TV,No,41168,2020-08-12
connectedhomesltd-prod,action.devices.types.OUTLET,No,36862,2020-08-12
tuya-direct-action-kdm,action.devices.types.SENSOR,No,35023,2020-08-12
athom-cloud-assistant-devices,action.devices.types.SWITCH,No,33637,2020-08-12
broadlink-smart-home,action.devices.types.SETTOP,No,31658,2020-08-12
legrand-home-control,action.devices.types.SHUTTER,No,31528,2020-08-12
gosund-590c1,action.devices.types.LIGHT,No,31185,2020-08-12
fibaro-smart-home,action.devices.types.SWITCH,No,30608,2020-08-12
shelly-smart-home-96c9e,action.devices.types.BLINDS,No,28723,2020-08-12
tuya-direct-action-kdm,action.devices.types.CURTAIN,No,28406,2020-08-12
emerald-pipe-211407,action.devices.types.LIGHT,No,27724,2020-08-12
hubitat-intent,action.devices.types.SWITCH,No,26995,2020-08-12
abode-smart-home,action.devices.types.DOOR,No,23680,2020-08-12
eedomus-7563c,action.devices.types.SWITCH,No,23297,2020-08-12
connectedhomesltd-prod,action.devices.types.SWITCH,No,22198,2020-08-12
meross-50e63,action.devices.types.LIGHT,No,21770,2020-08-12
meross-50e63,action.devices.types.GARAGE,No,17595,2020-08-12
switchbot-actions,action.devices.types.THERMOSTAT,No,17416,2020-08-12
tuya-smart-cee31,action.devices.types.TV,No,17179,2020-08-12
tp-tapo-983f0,action.devices.types.CAMERA,No,17077,2020-08-12
emerald-pipe-211407,action.devices.types.AC_UNIT,No,16695,2020-08-12
lgsmartthinq-direct,action.devices.types.DISHWASHER,No,16244,2020-08-12
arlo-1ae86,action.devices.types.DOORBELL,No,15714,2020-08-12
athom-cloud-assistant-devices,action.devices.types.THERMOSTAT,No,14844,2020-08-12
arlo-1ae86,action.devices.types.LIGHT,No,14506,2020-08-12
gosund-590c1,action.devices.types.SWITCH,No,14384,2020-08-12
abode-smart-home,action.devices.types.WINDOW,No,14285,2020-08-12
homebridge-19a12,action.devices.types.LIGHT,No,13748,2020-08-12
jinvoo-smart,action.devices.types.SWITCH,No,13596,2020-08-12
lgsmartthinq-direct,action.devices.types.AIRPURIFIER,No,13222,2020-08-12
bond-home-e6c6c,action.devices.types.FAN,No,12440,2020-08-12
klikaanklikuit-1526b,action.devices.types.SWITCH,No,12144,2020-08-12
nexia-52685,action.devices.types.THERMOSTAT,No,12144,2020-08-12
tuya-smart-cee31,action.devices.types.SENSOR,No,11990,2020-08-12
tuya-smart-cee31,action.devices.types.AC_UNIT,No,11611,2020-08-12
fibaro-smart-home,action.devices.types.SECURITYSYSTEM,No,11547,2020-08-12
ge-appliances-da,action.devices.types.OVEN,No,11487,2020-08-12
smart-home-ad7b5,action.devices.types.HUMIDIFIER,No,11448,2020-08-12
eufysecurity-1543998411229,action.devices.types.SECURITYSYSTEM,No,11124,2020-08-12
home-assistant-35180,action.devices.types.CAMERA,No,10877,2020-08-12
oakter-smart-home-78b83,action.devices.types.REMOTECONTROL,No,10875,2020-08-12
positivo-casa-inteligente,action.devices.types.LIGHT,No,10849,2020-08-12
home-assistant-35180,action.devices.types.DOOR,No,10842,2020-08-12
emerald-pipe-211407,action.devices.types.SETTOP,No,10419,2020-08-12
smart-home-ad7b5,action.devices.types.SENSOR,No,10383,2020-08-12
connect-smarthome-5a689,action.devices.types.LIGHT,No,10358,2020-08-12
athom-cloud-assistant-devices,action.devices.types.BLINDS,No,10353,2020-08-12
ge-appliances-da,action.devices.types.AC_UNIT,No,10257,2020-08-12
fibaro-smart-home,action.devices.types.OUTLET,No,10000,2020-08-12
bardi-smart-home,action.devices.types.OUTLET,No,9988,2020-08-12
switchbot-actions,action.devices.types.LIGHT,No,9950,2020-08-12
trust-smart-home-on-goog-d602d,action.devices.types.OUTLET,No,9667,2020-08-12
efamilycloud-7cff1,action.devices.types.LIGHT,No,9244,2020-08-12
ehomelife-c6e0e,action.devices.types.OUTLET,No,8651,2020-08-12
test2-9fad3,action.devices.types.SWITCH,No,8523,2020-08-12
telus-home-assistant,action.devices.types.ROUTER,No,8515,2020-08-12
tuya-smart-cee31,action.devices.types.CAMERA,No,8449,2020-08-12
smart-home-54d22,action.devices.types.LIGHT,No,8357,2020-08-12
scs-cprd1-home,action.devices.types.THERMOSTAT,No,8118,2020-08-12
lsjpv1,action.devices.types.THERMOSTAT,No,7799,2020-08-12
sremo-162623,action.devices.types.SWITCH,No,7589,2020-08-12
lgsmartthinq-direct,action.devices.types.OVEN,No,7276,2020-08-12
deltaco-smart-home-8d066,action.devices.types.LIGHT,No,7112,2020-08-12
mystrom-fd5a1,action.devices.types.SWITCH,No,7092,2020-08-12
vtac-smart-light,action.devices.types.LIGHT,No,7037,2020-08-12
cocoon-230705,action.devices.types.LIGHT,No,7003,2020-08-12
abode-smart-home,action.devices.types.SECURITYSYSTEM,No,6836,2020-08-12
nethomeplus-smarthome,action.devices.types.AC_UNIT,No,6730,2020-08-12
lumary-smart,action.devices.types.LIGHT,No,6697,2020-08-12
homemate-c8b6b,action.devices.types.BLINDS,No,6496,2020-08-12
lgsmartthinq-direct,action.devices.types.STYLER,No,6454,2020-08-12
voxior-f8ba8,action.devices.types.SWITCH,No,6259,2020-08-12
tuya-direct-action-kdm,action.devices.types.DOOR,No,6242,2020-08-12
api-project-340130554425,action.devices.types.OUTLET,No,6147,2020-08-12
fb-smart-home-action,action.devices.types.OUTLET,No,6113,2020-08-12
digma-smartlife,action.devices.types.SWITCH,No,5991,2020-08-12
eco-plugs-381a1,action.devices.types.OUTLET,No,5649,2020-08-12
smart-dgm-82879,action.devices.types.OUTLET,No,5623,2020-08-12
gridhome-smartcontrol-action,action.devices.types.SWITCH,No,5583,2020-08-12
nest-home-assistant-prod,action.devices.types.SMOKE_DETECTOR,No,5350,2020-08-12
ewelink-smart-home-3dcc4,action.devices.types.CURTAIN,No,5260,2020-08-12
kogansmarterhome,action.devices.types.SWITCH,No,5255,2020-08-12
brilliant-smart,action.devices.types.SWITCH,No,5021,2020-08-12
lightify2-eu,action.devices.types.OUTLET,No,4979,2020-08-12
somfy-tahoma-6b793,action.devices.types.GARAGE,No,4973,2020-08-12
brilliant-light-control-prod,action.devices.types.LIGHT,No,4924,2020-08-12
bg-smart-home-eu-3f1a7,action.devices.types.SWITCH,No,4880,2020-08-12
jeedom-smarthome-3f104,action.devices.types.SHUTTER,No,4818,2020-08-12
smart-life-for-arugo,action.devices.types.OUTLET,No,4767,2020-08-12
vivitar-smart-home-da,action.devices.types.OUTLET,No,4720,2020-08-12
aqara-home-5ce36,action.devices.types.SWITCH,No,4656,2020-08-12
nooie-home-b1bbf,action.devices.types.LIGHT,No,4577,2020-08-12
meross-50e63,action.devices.types.THERMOSTAT,No,4571,2020-08-12
lgsmartthinq-direct,action.devices.types.VACUUM,No,4456,2020-08-12
switchbot-actions,action.devices.types.TV,No,4443,2020-08-12
conga-cecotec,action.devices.types.VACUUM,No,4432,2020-08-12
tuya-direct-action-kdm,action.devices.types.SECURITYSYSTEM,No,4421,2020-08-12
ehomelife-c6e0e,action.devices.types.GARAGE,No,4413,2020-08-12
lsc-smart-connect-d69f9,action.devices.types.SENSOR,No,4412,2020-08-12
supla-ce26f,action.devices.types.OUTLET,No,4277,2020-08-12
muvit-io-home-94c79,action.devices.types.LIGHT,No,4243,2020-08-12
open-steren-home,action.devices.types.LIGHT,No,4208,2020-08-12
bardi-smart-home,action.devices.types.TV,No,4130,2020-08-12
lorex-2c0b5,action.devices.types.SWITCH,No,4119,2020-08-12
lorex-2c0b5,action.devices.types.LIGHT,No,4112,2020-08-12
innogy-smarthome-live,action.devices.types.DOOR,No,4085,2020-08-12
connectedhomesltd-prod,action.devices.types.SENSOR,No,3962,2020-08-12
kogansmarterhome,action.devices.types.CAMERA,No,3890,2020-08-12
smart-home-ad7b5,action.devices.types.CURTAIN,No,3877,2020-08-12
positivo-casa-inteligente,action.devices.types.TV,No,3869,2020-08-12
emerald-pipe-211407,action.devices.types.CURTAIN,No,3865,2020-08-12
supla-ce26f,action.devices.types.BLINDS,No,3862,2020-08-12
hager-coviva,action.devices.types.OUTLET,No,3837,2020-08-12
jetstream-home-c208c,action.devices.types.LIGHT,No,3835,2020-08-12
mirabella-genio,action.devices.types.TV,No,3728,2020-08-12
bardi-smart-home,action.devices.types.AC_UNIT,No,3639,2020-08-12
smart-home-ad7b5,action.devices.types.DOOR,No,3524,2020-08-12
automationbridge-f5e73,action.devices.types.SWITCH,No,3437,2020-08-12
hometest-e5bd9,action.devices.types.SENSOR,No,3364,2020-08-12
