agent,device_type,count
agl-home-ebea2,action.devices.types.LIGHT,47
agl-home-ebea2,action.devices.types.SENSOR,25
agl-home-ebea2,action.devices.types.DOOR,14
agl-home-ebea2,action.devices.types.SECURITYSYSTEM,4
agl-home-ebea2,action.devices.types.CAMERA,2
agl-home-ebea2,action.devices.types.AC_UNIT,1
agl-home-ebea2,action.devices.types.TV,1
ai-smart-home-50566,action.devices.types.SWITCH,94
ai-smart-home-50566,action.devices.types.SENSOR,8
ai-smart-home-50566,action.devices.types.CAMERA,6
ai-smart-home-50566,action.devices.types.HUMIDIFIER,6
ai-smart-home-50566,action.devices.types.AC_UNIT,6
ai-smart-home-50566,action.devices.types.BLINDS,5
ai-smart-home-50566,action.devices.types.VACUUM,3
ai-smart-home-50566,action.devices.types.TV,3
ai-smart-home-50566,action.devices.types.AIRPURIFIER,2
alecoair-smart,action.devices.types.AC_UNIT,3
alecoair-smart,action.devices.types.TV,1
aspenhome-919d6,action.devices.types.OUTLET,4
aspenhome-919d6,action.devices.types.LIGHT,1
atlantic-energy,action.devices.types.CAMERA,91
atlantic-energy,action.devices.types.AC_UNIT,3
atlantis-smart-a0789,action.devices.types.CAMERA,1
avatar-controls,action.devices.types.SWITCH,288
avatar-controls,action.devices.types.BLINDS,10
avatar-controls,action.devices.types.SENSOR,8
avatar-controls,action.devices.types.AC_UNIT,5
avatar-controls,action.devices.types.TV,3
avatar-controls,action.devices.types.CAMERA,2
avatar-controls,action.devices.types.HUMIDIFIER,1
azura-aus,action.devices.types.BLINDS,32
azura-aus,action.devices.types.OUTLET,29
azura-aus,action.devices.types.AC_UNIT,9
azura-aus,action.devices.types.SECURITYSYSTEM,9
azura-aus,action.devices.types.SENSOR,8
azura-aus,action.devices.types.AIRPURIFIER,6
azura-aus,action.devices.types.CAMERA,3
azura-aus,action.devices.types.VACUUM,3
azura-aus,action.devices.types.FAN,3
azura-aus,action.devices.types.TV,1
bardi-smart-home,action.devices.types.OUTLET,9988
bardi-smart-home,action.devices.types.TV,4130
bardi-smart-home,action.devices.types.AC_UNIT,3639
bardi-smart-home,action.devices.types.FAN,291
bardi-smart-home,action.devices.types.SENSOR,153
bardi-smart-home,action.devices.types.VACUUM,69
bardi-smart-home,action.devices.types.AIRPURIFIER,50
bardi-smart-home,action.devices.types.SECURITYSYSTEM,29
bardi-smart-home,action.devices.types.CAMERA,27
bardi-smart-home,action.devices.types.BLINDS,8
bardi-smart-home,action.devices.types.THERMOSTAT,2
blue-star-d3b03,action.devices.types.OUTLET,8
blue-star-d3b03,action.devices.types.LIGHT,7
blue-star-d3b03,action.devices.types.SWITCH,4
brennenstuhl-connect,action.devices.types.SWITCH,20
brennenstuhl-connect,action.devices.types.SENSOR,7
brennenstuhl-connect,action.devices.types.THERMOSTAT,6
brennenstuhl-connect,action.devices.types.AC_UNIT,1
brilliance-smart-ade31,action.devices.types.OUTLET,330
brilliance-smart-ade31,action.devices.types.SWITCH,21
brilliance-smart-ade31,action.devices.types.FAN,8
brilliance-smart-ade31,action.devices.types.SENSOR,5
brilliance-smart-ade31,action.devices.types.TV,4
brilliance-smart-ade31,action.devices.types.AC_UNIT,3
brilliance-smart-ade31,action.devices.types.CAMERA,1
brilliance-smart-ade31,action.devices.types.THERMOSTAT,1
brookstone-smart,action.devices.types.LIGHT,824
brookstone-smart,action.devices.types.SWITCH,250
brookstone-smart,action.devices.types.TV,23
brookstone-smart,action.devices.types.CAMERA,2
brookstone-smart,action.devices.types.AC_UNIT,1
calex-smart-80889,action.devices.types.OUTLET,1239
calex-smart-80889,action.devices.types.SENSOR,25
calex-smart-80889,action.devices.types.BLINDS,5
calex-smart-80889,action.devices.types.HEATER,3
calex-smart-80889,action.devices.types.CAMERA,1
calex-smart-80889,action.devices.types.AC_UNIT,1
calex-smart-80889,action.devices.types.SECURITYSYSTEM,1
cherry-home-264f3,action.devices.types.TV,9
cherry-home-264f3,action.devices.types.AC_UNIT,3
cherry-home-264f3,action.devices.types.FAN,3
cherry-home-264f3,action.devices.types.CURTAIN,1
cocoon-230705,action.devices.types.LIGHT,7003
cocoon-230705,action.devices.types.SENSOR,776
cocoon-230705,action.devices.types.CAMERA,537
cocoon-230705,action.devices.types.SWITCH,6
cocoon-230705,action.devices.types.AC_UNIT,4
cocoon-230705,action.devices.types.TV,3
cocoon-230705,action.devices.types.FAN,2
cocoon-230705,action.devices.types.HEATER,1
cocoon-230705,action.devices.types.AIRPURIFIER,1
conalux-wifi-f4650,action.devices.types.BLINDS,4
conalux-wifi-f4650,action.devices.types.CAMERA,2
conectoz-smart,action.devices.types.OUTLET,11
conectoz-smart,action.devices.types.AC_UNIT,2
conectoz-smart,action.devices.types.TV,1
conectoz-smart,action.devices.types.CAMERA,1
cree-lighting-5efed,action.devices.types.OUTLET,16
crescent-smart-dac46,action.devices.types.AC_UNIT,7
crescent-smart-dac46,action.devices.types.FAN,2
crescent-smart-dac46,action.devices.types.OUTLET,1
cross-smart-c86ee,action.devices.types.SWITCH,168
cross-smart-c86ee,action.devices.types.AC_UNIT,11
cross-smart-c86ee,action.devices.types.TV,9
cross-smart-c86ee,action.devices.types.FAN,6
cross-smart-c86ee,action.devices.types.LIGHT,4
cross-smart-c86ee,action.devices.types.THERMOSTAT,1
cross-smart-c86ee,action.devices.types.AIRPURIFIER,1
daewoo-home-connect,action.devices.types.OUTLET,1
dals-connect-82a6f,action.devices.types.OUTLET,56
dals-connect-82a6f,action.devices.types.SWITCH,6
dals-connect-82a6f,action.devices.types.AC_UNIT,3
dals-connect-82a6f,action.devices.types.TV,2
dals-connect-82a6f,action.devices.types.CAMERA,1
